Id,Review,Label
103868,Very bad course.,1
15884,"Creativity without a reason, without a real problem/question. Divergent thinking per se. Try to be divergent just to be divergent. Too simplistic, doesn't worth your time.",1
25381,Hopeless ! Less clear and understandable than simply reading a textbook.A waste of time.,1
64220,"If you are considering this specialization I would recommend the Andrew Ng course instead and the main reason is that it isn't depend on proprietary ML framework. Despite the good lectures, the assignments don't help you develop the knowledge required for ML developer role.Taking in consideration the permanent postponing the courses delivery, from summer 2016 to summer 2017, finally the most interesting part of the specialization was cancelled. I'm completely disappointed with the specialization learning expirience.",1
52846,Week 4 does not give enough explanation or extra resources and makes it unable to complete the exercises.,1
20211,"If you have to pay for the certificate itself, then the course can't be too serious or maybe even that much helpful.",1
93300,They shouldn't compact 14+ videos in one week.,1
104316,worst course forever,1
29382,Not much here,1
62961,"I was not impressed. (And not impressed with this automatically centered text box either.) There was far too much very technical detail that no one save those working for hedge fund developers would ever use. The volume of analysis they suggest is overwhelming and impossible for the average investor, and when all is said and done, worthless. The market moves on news, rumors, scandal, etc; think Enron, Worldcom, Texaco, et al. None of the concepts presented in this course would have prevented you from investing in those companies when they were beginning or in their prime.I'm about to become a registered investment advisor. I took this course looking for ideas to improve my recommendations. No go. This was terrible.In addition, the presentation was presented by automatons I think. They rarely looked at us, they read flatly from the prompter. A good text to speech program could easily have replaced the ""teachers"".",1
52153,Could not get to the fourth course and was asked to pay for it twice.,1
106239,"Need more (understandable) subtitles. Peer-review for this course is not a good idea as well, given abstract concepts and different language.",1
39444,"I really wouldn't call this a course, just an overview of VR & AR technologies and really general principle of work for AR. It took be less than an hour to watch everything and pass the tests.",1
5551,"Very bad course. The content can barely be applied outside US, you don't know from which perspective it's explained (for sales or purchasing people), the videos are bad quality, the teacher is babbling, no extra resources, no interaction with the audience outside the assessments.",1
39502,"The proffessor only reads the slides and do nothing more. No technical explanation included, only some keyword provided.",1
51169,"I wrote some indepth feedback, but par for the course, I can't save it - either here or on the discussion board. Nothing obscene, but certainly some major frustration with format, inconsistencies in scoring and format, information not reviewed in the course on some of the quizzes, the fact that Coursera keeps trying to sell me the specialty, the lack of ANY moderator on the discussion board to provide assistance...and can go on with the technical issues to but I won't!",1
85588,"I was very excited by the topic of this course, but quite disappointed when I finally started it.The content of this course has little to do with its promising title.In fact. the content lacks any coherency. There is no logical development of the course content - it's all disconnected facts told one after another.Another factor is the delivery. I know the teachers are Italians & English is not their first language and that is fine. But they are just reading out the content - that's all. They are just passively reading the content from somewhere so it is hard to concentrate because the interactivity value is zero and their accent takes some time to get used to.Both content and delivery of this course were disappointing even though I was (and am) really, really interested in this topic.",1
9983,"Again a course that comes with very simple (and not always good prepared) video lectures but for recieving a grade an enormous math knowledge is necessary, with no further help given",1
85846,Impossible to navigate to the course material. Took my payment but insists on another payment before it will let me submit an assignment. Very frustrating. I am about to request a refund.,1
23580,"Not about the actual effect of food on your health, it's just a cookbook.",1
6558,"Watch one or 2 lectures before you join the course, if you felt okay then go ahead, otherwise don't waste your time and money, something wrong in the course structure...",1
26235,Translation from English only on the first slides. I thought it at all lectures. Spent a lot of time beginning to study.,1
41349,Paying for course just to learn how to loop and make if else statements... I don't think this is the best way to learn java!,1
4348,"This is an advanced Statistics class. Learning was chaotic, confusing, and fast paced. Strong Mathematics skills required. As icing on the cake, there is an 8 hour project at the end of the course .. and they only tell you at the end that you should have been working on this all along! Not at all what I wanted to learn or find productive in the real world.",1
73241,Very American perspective.,1
